name;description;created_at;updated_at;deleted_at
GRUPO FERTRAN TRANSPORTES LTDA;      ;25/1/24 19:47;        ;        
GRUPO H I TRANSPORTES LTDA    ;      ;25/1/24 19:47;        ;        
GRUPO GALO VEIO TRANSPORTES   ;      ;25/1/24 19:47;        ;        
GRUPO TRANSNIEL TRANSPORTES LT;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTADORA 7 FLEXAS ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES BAGGETO LTDA;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES I.M LTDA    ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPES                ;      ;25/1/24 19:47;        ;        
GRUPO TRANSTICO TRANSPORTES   ;      ;25/1/24 19:47;        ;        
GRUPO ATOMIZACAO METAIS OMEGA ;      ;25/1/24 19:47;        ;        
GRUPO METALURGICA CYRNE       ;      ;25/1/24 19:47;        ;        
GRUPO ENGEFLEX                ;      ;25/1/24 19:47;        ;        
GRUPO J A DE SOUSA            ;      ;25/1/24 19:47;        ;        
GRUPO MILAD LOGISTICA         ;      ;25/1/24 19:47;        ;        
GRUPO RUDA CONSTRUCOES        ;      ;25/1/24 19:47;        ;        
GRUPO NOVELIS                 ;      ;25/1/24 19:47;        ;        
GRUPO IBAR                    ;      ;25/1/24 19:47;        ;        
GRUPO MAGNESITA               ;      ;25/1/24 19:47;        ;        
GRUPO CAMM                    ;      ;25/1/24 19:47;        ;        
GRUPO GERDAU                  ;      ;25/1/24 19:47;        ;        
GRUPO FEMSA                   ;      ;25/1/24 19:47;        ;        
GRUPO A ADALTO DE OLIVEIRA    ;      ;25/1/24 19:47;        ;        
GRUPO A. M. DE MENESES        ;      ;25/1/24 19:47;        ;        
GRUPO A.P. LIMA TRANSP E LOGIS;      ;25/1/24 19:47;        ;        
GRUPO AAK                     ;      ;25/1/24 19:47;        ;        
GRUPO AAS SOLUCOES            ;      ;25/1/24 19:47;        ;        
GRUPO ACCORD TRANSPORTES      ;      ;25/1/24 19:47;        ;        
GRUPO ACO CEARENSE            ;      ;25/1/24 19:47;        ;        
GRUPO ACOMAC                  ;      ;25/1/24 19:47;        ;        
GRUPO ACOS FAVORIT            ;      ;25/1/24 19:47;        ;        
GRUPO ACOTESS                 ;      ;25/1/24 19:47;        ;        
GRUPO ACOVISA                 ;      ;25/1/24 19:47;        ;        
GRUPO ACUMULADORES MOURA      ;      ;25/1/24 19:47;        ;        
GRUPO ADIMAX                  ;      ;25/1/24 19:47;        ;        
GRUPO ADNILSON                ;      ;25/1/24 19:47;        ;        
GRUPO ADRAM                   ;      ;25/1/24 19:47;        ;        
GRUPO ADRIANA HELENA MARTINS R;      ;25/1/24 19:47;        ;        
GRUPO ADRIANO GARCIA          ;      ;25/1/24 19:47;        ;        
GRUPO AGA  PREGOS E ARAMES    ;      ;25/1/24 19:47;        ;        
GRUPO AGA MOVEIS              ;      ;25/1/24 19:47;        ;        
GRUPO AGROMELO                ;      ;25/1/24 19:47;        ;        
GRUPO AGROPECUARIA MARATA     ;      ;25/1/24 19:47;        ;        
GRUPO AGUIA SISTEMAS          ;      ;25/1/24 19:47;        ;        
GRUPO ALCAST                  ;      ;25/1/24 19:47;        ;        
